I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.075,-0.077,-0.001,,,,,,,,,
-0.061,-0.087,-0.025,,,,,,,,,
-0.068,-0.083,-0.016,,,,,,,,,
-0.053,-0.083,-0.029,,,,,,,,,
-0.045,-0.076,-0.031,,,,,,,,,
-0.044,-0.075,-0.03,,,,,,,,,
-0.045,-0.072,-0.026,,,,,,,,,
-0.042,-0.067,-0.025,,,,,,,,,
-0.04,-0.065,-0.024,,,,,,,,,
-0.043,-0.063,-0.019,,,,,,,,,
-0.038,-0.058,-0.02,,,,,,,,,
-0.038,-0.055,-0.017,,,,,,,,,
-0.038,-0.053,-0.014,,,,,,,,,
-0.037,-0.049,-0.012,,,,,,,,,
-0.04,-0.05,-0.009,,,,,,,,,
-0.04,-0.049,-0.009,,,,,,,,,
-0.045,-0.05,-0.004,,,,,,,,,
-0.044,-0.049,-0.005,,,,,,,,,
-0.042,-0.05,-0.007,,,,,,,,,
-0.031,-0.049,-0.018,,,,,,,,,
-0.027,-0.05,-0.022,,,,,,,,,
-0.029,-0.049,-0.02,,,,,,,,,
-0.03,-0.05,-0.019,,,,,,,,,
-0.029,-0.049,-0.019,,,,,,,,,
-0.036,-0.05,-0.014,,,,,,,,,
-0.033,-0.049,-0.015,,,,,,,,,
-0.036,-0.051,-0.014,,,,,,,,,
-0.036,-0.047,-0.011,,,,,,,,,
-0.053,-0.062,-0.009,,,,,,,,,
-0.072,-0.082,-0.01,,,,,,,,,
-0.054,-0.063,-0.009,,,,,,,,,
-0.039,-0.049,-0.01,,,,,,,,,
-0.022,-0.032,-0.009,,,,,,,,,
-0.032,-0.042,-0.009,,,,,,,,,
-0.044,-0.048,-0.004,,,,,,,,,
-0.031,-0.037,-0.005,,,,,,,,,
-0.052,-0.056,-0.004,,,,,,,,,
-0.062,-0.068,-0.005,,,,,,,,,
-0.059,-0.063,-0.004,,,,,,,,,
-0.059,-0.065,-0.006,,,,,,,,,
-0.062,-0.064,-0.002,,,,,,,,,
-0.069,-0.062,0.007,,,,,,,,,
-0.076,-0.058,0.017,,,,,,,,,
-0.082,-0.06,0.021,,,,,,,,,
-0.102,-0.06,0.043,,,,,,,,,
-0.114,-0.058,0.056,,,,,,,,,
-0.053,-0.038,0.014,,,,,,,,,
0.018,-0.02,-0.038,,,,,,,,,
0.092,0.019,-0.073,,,,,,,,,
0.328,0.12,-0.207,,,,,,,,,
0.63,0.307,-0.322,,,,,,,,,
0.921,0.443,-0.478,,,,,,,,,
1.186,0.393,-0.793,,,,,,,,,
1.223,0.344,-0.878,,,,,,,,,
0.852,0.348,-0.504,,,,,,,,,
0.304,0.324,0.019,,,,,,,,,
0.035,0.247,0.212,,,,,,,,,
-0.126,0.119,0.246,,,,,,,,,
-0.196,0.052,0.248,,,,,,,,,
-0.186,0.05,0.236,,,,,,,,,
-0.185,0.034,0.22,,,,,,,,,
-0.145,0.027,0.173,,,,,,,,,
-0.114,0.008,0.123,,,,,,,,,
-0.101,-0.007,0.093,,,,,,,,,
-0.099,-0.024,0.075,,,,,,,,,
-0.098,-0.037,0.061,,,,,,,,,
-0.078,-0.035,0.042,,,,,,,,,
-0.1,-0.07,0.029,,,,,,,,,
-0.079,-0.07,0.008,,,,,,,,,
-0.087,-0.069,0.017,,,,,,,,,
-0.127,-0.07,0.056,,,,,,,,,
-0.122,-0.067,0.055,,,,,,,,,
-0.117,-0.063,0.053,,,,,,,,,
-0.116,-0.065,0.05,,,,,,,,,
-0.112,-0.064,0.048,,,,,,,,,
-0.106,-0.061,0.044,,,,,,,,,
-0.1,-0.058,0.042,,,,,,,,,
-0.101,-0.061,0.039,,,,,,,,,
-0.095,-0.058,0.036,,,,,,,,,
-0.131,-0.096,0.034,,,,,,,,,
-0.13,-0.098,0.031,,,,,,,,,
-0.106,-0.077,0.029,,,,,,,,,
-0.093,-0.058,0.034,,,,,,,,,
-0.079,-0.044,0.034,,,,,,,,,
-0.103,-0.068,0.035,,,,,,,,,
-0.098,-0.064,0.034,,,,,,,,,
-0.101,-0.066,0.035,,,,,,,,,
-0.119,-0.084,0.034,,,,,,,,,
-0.112,-0.073,0.038,,,,,,,,,
-0.107,-0.06,0.046,,,,,,,,,
-0.101,-0.046,0.055,,,,,,,,,
-0.096,-0.036,0.06,,,,,,,,,
-0.09,-0.035,0.055,,,,,,,,,
-0.089,-0.034,0.054,,,,,,,,,
-0.085,-0.029,0.054,,,,,,,,,
-0.085,-0.03,0.055,,,,,,,,,
-0.082,-0.027,0.054,,,,,,,,,
-0.079,-0.023,0.055,,,,,,,,,
-0.08,-0.025,0.054,,,,,,,,,
-0.078,-0.022,0.055,,,,,,,,,
-0.074,-0.019,0.054,,,,,,,,,
-0.075,-0.02,0.055,,,,,,,,,
-0.069,-0.015,0.054,,,,,,,,,
-0.07,-0.015,0.055,,,,,,,,,
-0.067,-0.012,0.054,,,,,,,,,
-0.09,-0.034,0.055,,,,,,,,,
-0.118,-0.055,0.062,,,,,,,,,
-0.117,-0.045,0.07,,,,,,,,,
-0.112,-0.046,0.066,,,,,,,,,
-0.107,-0.042,0.064,,,,,,,,,
-0.104,-0.039,0.064,,,,,,,,,
-0.1,-0.034,0.065,,,,,,,,,
-0.074,-0.032,0.042,,,,,,,,,
-0.015,-0.007,0.007,,,,,,,,,
0.028,0.015,-0.013,,,,,,,,,
0.034,0.003,-0.03,,,,,,,,,
0.018,-0.026,-0.045,,,,,,,,,
